[2026-03-17 05:20:50.999] [Download] === START === file=The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4 fragment_size=524288 compression=false
[2026-03-17 05:20:51.000] [Download] All sources from Directory:
[2026-03-17 05:20:51.004] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.005] [Download] Using 1 source(s):
[2026-03-17 05:20:51.005] [Download]   13.39.21.10:6000 [load=0]
[2026-03-17 05:20:51.256] [Download] File size: 2901310881 bytes (2833311 KB)
[2026-03-17 05:20:51.266] [Download] Fragments: 5534 x 512KB, sources: 1
[2026-03-17 05:23:51.816] [FRAG] idx=154 offset=80740352 len=524288 source=13.39.21.10:6000 time_ms=1146 speed_KB/s=446 progress=2%
[2026-03-17 05:23:52.967] [FRAG] idx=155 offset=81264640 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=2%
[2026-03-17 05:23:54.122] [FRAG] idx=156 offset=81788928 len=524288 source=13.39.21.10:6000 time_ms=1154 speed_KB/s=443 progress=2%
[2026-03-17 05:23:55.272] [FRAG] idx=157 offset=82313216 len=524288 source=13.39.21.10:6000 time_ms=1150 speed_KB/s=445 progress=2%
[2026-03-17 05:23:56.326] [FRAG] idx=158 offset=82837504 len=524288 source=13.39.21.10:6000 time_ms=1054 speed_KB/s=485 progress=2%
[2026-03-17 05:23:57.488] [FRAG] idx=159 offset=83361792 len=524288 source=13.39.21.10:6000 time_ms=1160 speed_KB/s=441 progress=2%
[2026-03-17 05:23:58.656] [FRAG] idx=160 offset=83886080 len=524288 source=13.39.21.10:6000 time_ms=1168 speed_KB/s=438 progress=2%
[2026-03-17 05:23:59.810] [FRAG] idx=161 offset=84410368 len=524288 source=13.39.21.10:6000 time_ms=1153 speed_KB/s=444 progress=2%
[2026-03-17 05:24:00.979] [FRAG] idx=162 offset=84934656 len=524288 source=13.39.21.10:6000 time_ms=1168 speed_KB/s=438 progress=2%
[2026-03-17 05:24:02.128] [FRAG] idx=163 offset=85458944 len=524288 source=13.39.21.10:6000 time_ms=1147 speed_KB/s=446 progress=2%
